City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.456,-114.3525,67.32,72.0,20.0,1.01,CA,1627806016.0
keningau,5.3378,116.1602,86.45,69.0,96.0,4.54,MY,1627806173.0
saint-joseph,-21.3667,55.6167,75.58,76.0,21.0,13.62,RE,1627806175.0
krivodol,43.3744,23.4844,96.13,26.0,0.0,3.15,BG,1627806175.0
puerto ayora,-0.7393,-90.3518,70.56,90.0,6.0,7.0,EC,1627806175.0
rikitea,-23.1203,-134.9692,70.95,71.0,95.0,22.84,PF,1627805708.0
arraial do cabo,-22.9661,-42.0278,65.89,60.0,93.0,13.87,BR,1627806176.0
moorhead,46.8739,-96.7676,61.99,69.0,1.0,1.01,US,1627806177.0
fort nelson,58.8053,-122.7002,62.19,77.0,20.0,2.3,CA,1627806177.0
peniche,39.3558,-9.3811,69.62,82.0,68.0,7.05,PT,1627806178.0
codrington,-38.2667,141.9667,46.94,91.0,60.0,7.58,AU,1627806178.0
albany,42.6001,-73.9662,59.59,86.0,39.0,3.13,US,1627805483.0
bandarbeyla,9.4942,50.8122,88.9,43.0,94.0,26.75,SO,1627806178.0
new norfolk,-42.7826,147.0587,44.71,71.0,15.0,3.0,AU,1627805882.0
lebu,-37.6167,-73.65,45.75,70.0,12.0,14.47,CL,1627805889.0
astana,51.1801,71.446,85.95,35.0,0.0,6.71,KZ,1627806179.0
sao miguel do araguaia,-13.275,-50.1628,70.88,47.0,30.0,3.29,BR,1627806180.0
cidreira,-30.1811,-50.2056,52.21,91.0,50.0,7.16,BR,1627806004.0
sinazongwe,-17.2614,27.4618,67.68,54.0,2.0,3.51,ZM,1627806180.0
hermanus,-34.4187,19.2345,60.8,79.0,34.0,12.33,ZA,1627806181.0
nome,64.5011,-165.4064,48.27,87.0,90.0,5.75,US,1627806181.0
san patricio,28.017,-97.5169,84.07,80.0,4.0,9.06,US,1627806182.0
tevaitoa,-16.7833,-151.5,76.84,67.0,66.0,15.01,PF,1627806182.0
teya,60.3778,92.6267,79.43,30.0,19.0,1.88,RU,1627806075.0
kapaa,22.0752,-159.319,80.92,77.0,40.0,4.0,US,1627805961.0
mpika,-11.8343,31.4529,56.73,82.0,95.0,8.34,ZM,1627806183.0
rapar,23.5667,70.6333,88.14,62.0,100.0,21.05,IN,1627806067.0
bluff,-46.6,168.3333,44.8,88.0,46.0,5.66,NZ,1627806184.0
chokurdakh,70.6333,147.9167,47.41,49.0,16.0,14.29,RU,1627805904.0
tuktoyaktuk,69.4541,-133.0374,59.58,68.0,32.0,14.32,CA,1627805896.0
sitka,57.0531,-135.33,60.69,88.0,90.0,3.44,US,1627806185.0
cocobeach,1.0002,9.5823,78.73,81.0,100.0,8.88,GA,1627806185.0
korla,41.7597,86.1469,87.82,18.0,27.0,11.59,CN,1627806002.0
cherskiy,68.75,161.3,42.3,60.0,98.0,20.07,RU,1627806186.0
el sauzal,31.9,-116.6833,68.99,72.0,0.0,5.88,MX,1627806186.0
teguldet,57.3064,88.1667,71.85,53.0,80.0,1.28,RU,1627806105.0
ushuaia,-54.8,-68.3,42.46,65.0,20.0,13.8,AR,1627806094.0
sikonge,-5.6333,32.7667,76.08,35.0,0.0,10.89,TZ,1627806187.0
masuguru,-11.3667,38.4167,81.37,40.0,56.0,8.08,TZ,1627806187.0
hithadhoo,-0.6,73.0833,82.24,70.0,96.0,6.17,MV,1627805906.0
neiafu,-18.65,-173.9833,76.59,78.0,93.0,24.25,TO,1627806188.0
ribeira grande,38.5167,-28.7,72.0,78.0,20.0,6.91,PT,1627806188.0
arman,59.7,150.1667,61.54,71.0,32.0,3.33,RU,1627806189.0
komsomolskiy,40.4272,71.7189,93.92,22.0,88.0,4.61,UZ,1627806189.0
pierre,44.3683,-100.351,65.28,78.0,1.0,4.0,US,1627805551.0
provideniya,64.3833,-173.3,44.28,81.0,100.0,4.7,RU,1627806126.0
husavik,66.0449,-17.3389,53.51,65.0,98.0,4.41,IS,1627806009.0
ostrovnoy,68.0531,39.5131,52.86,73.0,25.0,4.27,RU,1627806190.0
dunedin,-45.8742,170.5036,51.8,88.0,97.0,3.0,NZ,1627805902.0
bredasdorp,-34.5322,20.0403,60.28,77.0,63.0,6.91,ZA,1627806191.0
souillac,-20.5167,57.5167,75.58,60.0,75.0,18.41,MU,1627805956.0
mataura,-46.1927,168.8643,45.48,99.0,100.0,2.19,NZ,1627805960.0
jamestown,42.097,-79.2353,64.71,91.0,40.0,1.01,US,1627806251.0
kigoma,-4.8769,29.6267,78.24,38.0,3.0,9.51,TZ,1627806252.0
namatanai,-3.6667,152.4333,79.5,79.0,16.0,5.7,PG,1627805986.0
verkhnyaya toyma,62.2349,44.9985,69.26,59.0,47.0,7.16,RU,1627806252.0
talnakh,69.4865,88.3972,52.9,90.0,100.0,9.6,RU,1627806253.0
port alfred,-33.5906,26.891,71.98,30.0,100.0,13.31,ZA,1627806253.0
barrow,71.2906,-156.7887,51.82,84.0,20.0,4.61,US,1627805965.0
margate,51.3813,1.3862,64.69,88.0,60.0,1.99,GB,1627806138.0
ailigandi,9.2333,-78.0167,81.23,85.0,89.0,7.47,PA,1627806254.0
saskylakh,71.9167,114.0833,83.77,24.0,77.0,9.82,RU,1627806105.0
victoria,22.2855,114.1577,87.76,84.0,100.0,5.01,HK,1627806090.0
morondava,-20.2833,44.2833,76.95,47.0,0.0,8.03,MG,1627806255.0
faanui,-16.4833,-151.75,77.41,67.0,80.0,15.17,PF,1627806255.0
mitu,1.1983,-70.1733,70.95,84.0,100.0,2.37,CO,1627806256.0
ponta do sol,32.6667,-17.1,73.0,74.0,10.0,6.89,PT,1627806256.0
tuzha,57.6062,47.936,76.89,41.0,21.0,12.59,RU,1627806256.0
izhma,65.0083,53.9113,61.11,90.0,100.0,7.83,RU,1627806257.0
flinders,-34.5833,150.8552,55.8,87.0,99.0,7.0,AU,1627806257.0
hamilton,39.1834,-84.5333,62.73,92.0,1.0,1.99,US,1627806258.0
mabaruma,8.2,-59.7833,72.61,99.0,17.0,2.08,GY,1627806258.0
vaini,-21.2,-175.2,71.76,78.0,75.0,28.77,TO,1627806258.0
bambous virieux,-20.3428,57.7575,75.45,60.0,75.0,18.41,MU,1627805968.0
lorengau,-2.0226,147.2712,83.12,77.0,4.0,6.87,PG,1627806259.0
santa fe,-31.6333,-60.7,46.99,73.0,0.0,3.49,AR,1627806033.0
chuy,-33.6971,-53.4616,45.52,93.0,0.0,2.28,UY,1627805938.0
alofi,-19.0595,-169.9187,75.09,100.0,57.0,8.05,NU,1627806260.0
san rafael,-34.6177,-68.3301,43.92,65.0,0.0,4.43,AR,1627806039.0
haradok,55.4624,29.9816,73.51,79.0,100.0,8.23,BY,1627806260.0
chara,56.9064,118.2631,52.95,83.0,100.0,4.92,RU,1627806261.0
dikson,73.5069,80.5464,41.34,99.0,100.0,6.11,RU,1627805875.0
lavrentiya,65.5833,-171.0,41.29,91.0,100.0,4.29,RU,1627805881.0
kitui,-1.367,38.0106,74.68,44.0,77.0,13.65,KE,1627806262.0
hilo,19.7297,-155.09,74.93,86.0,90.0,0.0,US,1627806026.0
georgetown,5.4112,100.3354,80.53,87.0,40.0,1.01,MY,1627806171.0
port lincoln,-34.7333,135.8667,55.09,70.0,6.0,14.34,AU,1627806263.0
axim,4.8699,-2.2405,78.55,79.0,61.0,7.29,GH,1627806263.0
yulara,-25.2406,130.9889,71.44,33.0,0.0,12.66,AU,1627805988.0
nanortalik,60.1432,-45.2371,49.3,82.0,100.0,17.63,GL,1627806264.0
kruisfontein,-34.0033,24.7314,61.88,49.0,87.0,9.8,ZA,1627805977.0
carnarvon,-24.8667,113.6333,68.07,61.0,16.0,16.11,AU,1627806264.0
punta arenas,-53.15,-70.9167,42.91,75.0,0.0,18.41,CL,1627805673.0
saint anthony,45.0205,-93.218,67.62,68.0,1.0,3.0,US,1627806265.0
yumen,40.2833,97.2,87.66,19.0,90.0,14.32,CN,1627806087.0
bairiki,1.3292,172.9752,82.4,74.0,20.0,2.3,KI,1627806265.0
zinder,13.8072,8.9881,82.36,74.0,20.0,13.8,NE,1627806266.0
suez,29.9737,32.5263,94.44,24.0,0.0,8.39,EG,1627806266.0
luderitz,-26.6481,15.1594,72.97,26.0,0.0,13.73,NA,1627806023.0
harer,9.3094,42.1258,66.24,61.0,75.0,11.25,ET,1627806267.0
ambilobe,-13.2,49.05,89.82,27.0,1.0,5.39,MG,1627806327.0
roma,43.2128,-75.4557,59.86,88.0,20.0,5.75,US,1627806328.0
port hardy,50.6996,-127.4199,55.58,94.0,90.0,2.3,CA,1627806328.0
usinsk,65.9939,57.5281,59.76,90.0,83.0,18.48,RU,1627806328.0
atuona,-9.8,-139.0333,77.32,64.0,100.0,14.05,PF,1627806329.0
saint-philippe,-21.3585,55.7679,76.59,80.0,37.0,16.46,RE,1627806329.0
metro,-5.1131,105.3067,87.24,59.0,62.0,8.66,ID,1627806329.0
dosso,13.049,3.1937,80.08,71.0,74.0,11.97,NE,1627806330.0
castro,-24.7911,-50.0119,43.83,94.0,100.0,3.15,BR,1627806330.0
tessalit,20.1986,1.0114,91.06,32.0,89.0,17.63,ML,1627806181.0
melenki,55.3343,41.6295,77.0,44.0,100.0,6.71,RU,1627806331.0
kon tum,14.35,108.0,81.34,78.0,100.0,7.85,VN,1627806332.0
borculo,52.1158,6.5222,64.87,89.0,20.0,11.7,NL,1627806332.0
khatanga,71.9667,102.5,72.23,47.0,98.0,7.47,RU,1627806332.0
hobart,-42.8794,147.3294,45.05,73.0,20.0,1.99,AU,1627805828.0
guatire,10.4762,-66.5427,77.68,97.0,98.0,3.42,VE,1627806333.0
hualmay,-11.0964,-77.6139,61.97,88.0,83.0,7.74,PE,1627806333.0
amga,60.8953,131.9608,83.53,30.0,18.0,5.26,RU,1627806334.0
bud,39.447,-86.1758,61.92,97.0,18.0,5.48,US,1627806334.0
samfya,-11.3649,29.5565,68.85,51.0,23.0,12.95,ZM,1627806334.0
idritsa,56.3316,28.8988,76.41,46.0,67.0,9.69,RU,1627806335.0
nuuk,64.1835,-51.7216,47.01,93.0,90.0,14.97,GL,1627806091.0
clyde river,70.4692,-68.5914,37.63,100.0,90.0,6.91,CA,1627806335.0
longyearbyen,78.2186,15.6401,44.44,70.0,20.0,17.27,SJ,1627806156.0
college,64.8569,-147.8028,68.32,61.0,75.0,0.0,US,1627806115.0
polis,35.0367,32.4264,100.29,27.0,0.0,5.37,CY,1627806336.0
bubaque,11.2833,-15.8333,78.55,84.0,100.0,16.8,GW,1627806336.0
lukavica,44.7628,18.1689,89.82,27.0,57.0,8.81,BA,1627806337.0
butaritari,3.0707,172.7902,83.3,70.0,23.0,7.18,KI,1627806104.0
amalapuram,16.5833,82.0167,95.38,42.0,99.0,11.41,IN,1627806305.0
diapaga,12.0708,1.7889,75.96,81.0,96.0,8.7,BF,1627806338.0
lata,40.1629,-8.3327,66.04,67.0,24.0,2.8,PT,1627806338.0
juazeiro,-9.4117,-40.4986,69.98,83.0,75.0,10.36,BR,1627806339.0
maarianhamina,60.0973,19.9348,66.06,72.0,0.0,6.91,AX,1627806339.0
san policarpo,12.1791,125.5072,91.92,54.0,99.0,11.88,PH,1627806340.0
mar del plata,-38.0023,-57.5575,44.1,30.0,90.0,5.99,AR,1627806340.0
nikolskoye,59.7035,30.7861,66.09,86.0,92.0,5.19,RU,1627805959.0
pevek,69.7008,170.3133,34.03,91.0,96.0,19.46,RU,1627806341.0
narsaq,60.9167,-46.05,50.22,68.0,100.0,0.87,GL,1627806341.0
pisco,-13.7,-76.2167,62.65,82.0,90.0,4.61,PE,1627805925.0
kunigal,13.0222,77.0267,82.9,53.0,100.0,14.5,IN,1627806342.0
muros,42.7762,-9.0603,65.23,84.0,57.0,6.04,ES,1627806343.0
airai,-8.9266,125.4092,71.58,50.0,41.0,2.89,TL,1627806343.0
edson,53.5835,-116.4356,59.14,100.0,1.0,2.3,CA,1627806343.0
qaanaaq,77.484,-69.3632,39.06,95.0,80.0,2.53,GL,1627806174.0
lishui,28.4604,119.9103,84.94,84.0,96.0,3.78,CN,1627806344.0
natal,-5.795,-35.2094,72.25,100.0,75.0,8.05,BR,1627806297.0
trinidad,-14.8333,-64.9,62.55,56.0,15.0,4.41,BO,1627806345.0
lufilufi,-13.8745,-171.5986,82.18,79.0,85.0,18.84,WS,1627806345.0
esperance,-33.8667,121.9,50.95,73.0,96.0,22.84,AU,1627805931.0
tasiilaq,65.6145,-37.6368,46.56,78.0,17.0,1.57,GL,1627806406.0
deputatskiy,69.3,139.9,51.4,53.0,13.0,12.12,RU,1627806406.0
libreville,0.3925,9.4537,78.82,83.0,20.0,4.61,GA,1627806406.0
port blair,11.6667,92.75,84.25,77.0,100.0,20.45,IN,1627806404.0
bengkulu,-3.8004,102.2655,82.53,75.0,85.0,7.27,ID,1627806407.0
cockburn town,21.4612,-71.1419,82.17,79.0,10.0,20.62,TC,1627806407.0
rence,45.89,13.6686,85.86,61.0,31.0,9.22,SI,1627806408.0
busselton,-33.65,115.3333,55.04,57.0,11.0,18.34,AU,1627806408.0
areosa,41.7178,-8.8571,66.69,73.0,77.0,5.35,PT,1627806409.0
kathu,7.9178,98.3332,86.7,80.0,100.0,19.82,TH,1627806409.0
skala,50.2305,19.8536,69.39,89.0,40.0,4.61,PL,1627806409.0
cape town,-33.9258,18.4232,61.11,84.0,20.0,1.01,ZA,1627806349.0
myitkyina,25.3833,97.4,78.75,94.0,98.0,1.61,MM,1627806410.0
hay river,60.8156,-115.7999,66.18,77.0,20.0,2.3,CA,1627806410.0
lagunas,-5.2269,-75.6753,68.68,70.0,98.0,1.07,PE,1627806411.0
coihaique,-45.5752,-72.0662,40.95,52.0,0.0,6.91,CL,1627806411.0
huarmey,-10.0681,-78.1522,63.55,86.0,55.0,6.89,PE,1627806193.0
velur,12.9333,79.1333,96.46,33.0,100.0,15.93,IN,1627806412.0
saint george,37.1041,-113.5841,79.63,55.0,20.0,5.01,US,1627806412.0
samarai,-10.6167,150.6667,77.34,63.0,97.0,12.41,PG,1627806413.0
tamuin,21.9833,-98.75,74.84,90.0,0.0,1.92,MX,1627806413.0
sakaiminato,35.55,133.2333,89.53,70.0,40.0,11.5,JP,1627806413.0
sayat,38.7839,63.8803,96.67,9.0,0.0,20.74,TM,1627806414.0
moose factory,51.2585,-80.6094,44.6,87.0,1.0,3.44,CA,1627806414.0
leningradskiy,69.3833,178.4167,35.01,94.0,98.0,16.73,RU,1627806415.0
orem,40.2969,-111.6946,71.94,77.0,20.0,1.01,US,1627806125.0
schwabmunchen,48.1833,10.75,60.21,88.0,100.0,2.26,DE,1627806415.0
secunda,-26.55,29.1667,62.31,36.0,4.0,5.01,ZA,1627806415.0
torbay,47.6666,-52.7314,60.67,88.0,75.0,13.8,CA,1627806416.0
itaituba,-4.2761,-55.9836,69.24,97.0,98.0,2.68,BR,1627806417.0
mahebourg,-20.4081,57.7,75.49,60.0,75.0,18.41,MU,1627806417.0
kodiak,57.79,-152.4072,54.91,88.0,1.0,4.61,US,1627805973.0
westport,41.1415,-73.3579,67.86,88.0,1.0,1.99,US,1627806418.0
vestmanna,62.1564,-7.1664,47.32,81.0,90.0,10.36,FO,1627806418.0
necochea,-38.5473,-58.7368,41.43,83.0,0.0,3.62,AR,1627806419.0
thompson,55.7435,-97.8558,53.76,76.0,1.0,0.0,CA,1627806419.0
medina,24.4686,39.6142,97.23,10.0,0.0,9.22,SA,1627806419.0
byron bay,-28.65,153.6167,73.51,76.0,0.0,12.8,AU,1627806420.0
noumea,-22.2763,166.4572,70.0,99.0,75.0,12.01,NC,1627806420.0
masvingo,-20.0637,30.8277,64.69,46.0,0.0,6.42,ZW,1627806420.0
hermiston,45.8404,-119.2895,87.62,49.0,75.0,9.22,US,1627806400.0
tuy hoa,13.0833,109.3,95.5,48.0,97.0,8.57,VN,1627806421.0
khandyga,62.6667,135.6,84.04,32.0,5.0,4.32,RU,1627806421.0
palembang,-2.9167,104.7458,93.29,49.0,20.0,3.44,ID,1627806422.0
gamba,-2.65,10.0,77.0,72.0,40.0,4.63,GA,1627806422.0
santa catalina,9.3337,122.8637,84.6,75.0,28.0,10.76,PH,1627806423.0
sao joao da barra,-21.6403,-41.0511,65.59,59.0,100.0,9.66,BR,1627806214.0
bani walid,31.7566,13.9942,97.25,13.0,0.0,3.71,LY,1627806423.0
klaksvik,62.2266,-6.589,49.12,77.0,100.0,10.31,FO,1627806424.0
sola,-13.8833,167.55,76.62,65.0,46.0,10.54,VU,1627806424.0
nkhata bay,-11.6066,34.2907,72.59,61.0,21.0,8.86,MW,1627806484.0
mutoko,-17.397,32.2268,65.57,46.0,0.0,4.16,ZW,1627806485.0
lazaro cardenas,17.9583,-102.2,78.91,86.0,100.0,3.38,MX,1627806485.0
klyuchi,52.2667,79.1667,86.07,25.0,45.0,12.37,RU,1627806486.0
bethel,41.3712,-73.414,61.48,91.0,1.0,0.0,US,1627806486.0
haines junction,60.7522,-137.5108,57.15,58.0,15.0,4.61,CA,1627806486.0
yatou,37.15,122.3833,83.05,74.0,76.0,11.79,CN,1627806487.0
bojnurd,37.4747,57.329,84.15,17.0,0.0,4.61,IR,1627806487.0
hambantota,6.1241,81.1185,95.34,52.0,20.0,17.27,LK,1627806488.0
tlacotepec,20.0667,-97.8667,61.25,92.0,39.0,3.98,MX,1627806488.0
norman wells,65.282,-126.8329,57.24,82.0,40.0,0.0,CA,1627806489.0
kirkland lake,48.1446,-80.0377,52.09,93.0,94.0,3.85,CA,1627806489.0
sioux lookout,50.1001,-91.917,55.78,76.0,75.0,4.61,CA,1627806489.0
edd,13.9297,41.6925,93.72,47.0,6.0,7.87,ER,1627806490.0
landerneau,48.4525,-4.2525,61.83,91.0,75.0,8.05,FR,1627806490.0
taoudenni,22.6783,-3.9836,97.11,28.0,2.0,14.83,ML,1627806491.0
avarua,-21.2078,-159.775,77.05,73.0,100.0,16.11,CK,1627805955.0
san quintin,30.4833,-115.95,69.04,84.0,0.0,7.78,MX,1627805964.0
mount gambier,-37.8333,140.7667,46.02,96.0,59.0,5.32,AU,1627806195.0
inuvik,68.3499,-133.7218,70.66,49.0,75.0,6.91,CA,1627806492.0
kaitangata,-46.2817,169.8464,48.0,96.0,100.0,1.07,NZ,1627806492.0
palma,39.5694,2.6502,77.54,68.0,40.0,3.0,ES,1627806492.0
bilma,18.6853,12.9164,94.73,29.0,2.0,11.65,NE,1627806493.0
okhotsk,59.3833,143.3,70.81,59.0,0.0,6.02,RU,1627806493.0
puerto ayacucho,5.6639,-67.6236,71.33,93.0,97.0,4.21,VE,1627806494.0
tarecuato,19.85,-102.4833,56.88,96.0,44.0,1.81,MX,1627806494.0
vardo,70.3705,31.1107,49.08,93.0,100.0,8.14,NO,1627806495.0
suntar,62.1444,117.6319,84.58,26.0,100.0,9.98,RU,1627806495.0
la ronge,55.1001,-105.2842,55.65,82.0,1.0,2.3,CA,1627806496.0
ancud,-41.8697,-73.8203,31.53,85.0,69.0,4.41,CL,1627806496.0
port hedland,-20.3167,118.5667,80.65,28.0,2.0,6.91,AU,1627806496.0
churapcha,62.0025,132.4325,86.59,23.0,0.0,7.54,RU,1627806497.0
phaltan,17.9833,74.4333,85.77,50.0,100.0,20.11,IN,1627806497.0
kuusamo,65.9667,29.1833,60.84,72.0,90.0,9.22,FI,1627806498.0
ahipara,-35.1667,173.1667,52.11,85.0,0.0,5.46,NZ,1627806498.0
murgab,37.4966,61.9714,96.67,15.0,0.0,11.5,TM,1627806498.0
half moon bay,37.4636,-122.4286,64.74,89.0,75.0,1.01,US,1627806499.0
roald,62.5833,6.1333,58.91,76.0,75.0,14.97,NO,1627806499.0
belyy yar,53.6039,91.3903,75.09,53.0,0.0,8.95,RU,1627806500.0
launceston,-41.45,147.1667,47.84,72.0,6.0,1.99,AU,1627806500.0
san marcos de colon,13.4333,-86.8,65.41,90.0,98.0,6.24,HN,1627806500.0
rio gallegos,-51.6226,-69.2181,44.65,61.0,0.0,14.97,AR,1627806501.0
rulenge,-2.7175,30.6325,72.81,36.0,50.0,10.16,TZ,1627806501.0
lusambo,-4.9667,23.45,89.56,16.0,34.0,7.25,CD,1627806502.0
tezu,27.9167,96.1667,85.71,84.0,52.0,1.83,IN,1627806502.0
gayny,60.3071,54.3241,71.38,53.0,16.0,12.64,RU,1627806503.0
east london,-33.0153,27.9116,79.74,13.0,0.0,9.22,ZA,1627806503.0
dingle,10.9995,122.6711,85.89,72.0,91.0,13.67,PH,1627806503.0
harper,4.375,-7.7169,77.25,80.0,97.0,10.13,LR,1627806504.0
nagato,34.3833,131.2,85.91,76.0,100.0,0.27,JP,1627806505.0
kourou,5.1552,-52.6478,76.1,91.0,99.0,4.05,GF,1627806565.0
tynec nad sazavou,49.8335,14.5898,62.78,92.0,100.0,5.17,CZ,1627806565.0
berdigestyakh,62.0989,126.6992,85.19,24.0,76.0,3.27,RU,1627806566.0
saint-francois,46.4154,3.9054,64.67,79.0,75.0,8.05,FR,1627806566.0
los zacatones,22.95,-102.05,64.65,67.0,27.0,14.36,MX,1627806566.0
roros,62.5747,11.3842,46.24,76.0,90.0,14.97,NO,1627806567.0
rochegda,62.8,43.25,69.42,56.0,50.0,7.85,RU,1627806567.0
great yarmouth,52.6083,1.7305,64.24,89.0,100.0,8.3,GB,1627806568.0
naantali,60.4674,22.0243,64.81,82.0,0.0,8.05,FI,1627806568.0
cap malheureux,-19.9842,57.6142,75.69,68.0,0.0,11.99,MU,1627806569.0
paamiut,61.994,-49.6678,45.32,79.0,100.0,4.72,GL,1627806569.0
mount isa,-20.7333,139.5,87.57,22.0,24.0,2.3,AU,1627806569.0
skjervoy,70.0311,20.9714,45.46,74.0,94.0,6.69,NO,1627806570.0
pilar,-9.5972,-35.9567,73.33,90.0,85.0,11.97,BR,1627806570.0
lensk,60.7253,114.9278,82.47,25.0,70.0,12.08,RU,1627806570.0
villagarzon,1.0375,-76.6267,68.18,96.0,100.0,1.59,CO,1627806571.0
kalmunai,7.4167,81.8167,90.36,53.0,100.0,12.12,LK,1627806571.0
ilulissat,69.2167,-51.1,44.62,93.0,90.0,0.0,GL,1627806572.0
viedma,-40.8135,-62.9967,38.93,70.0,0.0,9.66,AR,1627806572.0
tiksi,71.6872,128.8694,48.34,73.0,2.0,6.53,RU,1627806573.0
badiraguato,25.3667,-107.5167,75.7,89.0,100.0,3.56,MX,1627806573.0
upernavik,72.7868,-56.1549,44.76,73.0,100.0,7.11,GL,1627806573.0
kimbe,-5.5502,150.1429,77.83,88.0,28.0,7.54,PG,1627806574.0
cervo,43.6702,-7.4101,65.19,70.0,100.0,6.4,ES,1627806574.0
fairbanks,64.8378,-147.7164,68.34,62.0,1.0,8.05,US,1627806332.0
mahon,39.8885,4.2658,73.96,64.0,20.0,10.36,ES,1627806575.0
tucuman,-26.8241,-65.2226,44.6,65.0,0.0,9.22,AR,1627806575.0
phalodi,27.1333,72.3667,91.38,52.0,94.0,18.79,IN,1627806576.0
gidam,18.9833,81.4,80.96,77.0,100.0,12.19,IN,1627806576.0
rincon,32.296,-81.2354,82.85,80.0,1.0,11.5,US,1627806576.0
zheshart,62.0731,49.5733,63.79,69.0,96.0,8.59,RU,1627806577.0
aklavik,68.2191,-135.0107,70.63,50.0,100.0,8.9,CA,1627806577.0
teutonia,-29.4481,-51.8064,47.34,94.0,98.0,3.27,BR,1627806578.0
iqaluit,63.7506,-68.5145,51.53,66.0,75.0,2.3,CA,1627806578.0
touros,-5.1989,-35.4608,72.5,89.0,38.0,13.42,BR,1627806578.0
